"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Leche Entera","7500000000001","Lacteos","2026-04-20","Lala",79.39,176
"Leche Descremada","7500000000002","Lacteos","2025-12-13","Alpura",20.50,178
"Leche Semidescremada","7500000000003","Lacteos","2028-06-23","Nestlé",30.16,483
"Yogurt Natural","7500000000004","Lacteos","2028-11-13","Sello Rojo",51.87,138
"Yogurt Fresa","7500000000005","Lacteos","2028-11-24","Centrolac",21.01,69
"Yogurt Vainilla","7500000000006","Lacteos","2028-12-27","Lala",33.74,79
"Queso Manchego","7500000000007","Lacteos","2027-09-22","Alpura",21.58,36
"Queso Oaxaca","7500000000008","Lacteos","2028-08-18","Nestlé",23.48,418
"Queso Cottage","7500000000009","Lacteos","2026-06-08","Sello Rojo",30.39,85
"Mantequilla","7500000000010","Lacteos","2026-03-18","Centrolac",60.41,179
"Crema Acida","7500000000011","Lacteos","2025-09-22","Lala",77.84,104
"Jocoque","7500000000012","Lacteos","2025-06-24","Alpura",13.82,47
"Leche Entera v2","7500000000013","Lacteos","2028-04-14","Nestlé",50.00,295
"Leche Descremada v2","7500000000014","Lacteos","2026-07-18","Sello Rojo",67.89,121
"Leche Semidescremada v2","7500000000015","Lacteos","2027-06-24","Centrolac",35.89,423
"Yogurt Natural v2","7500000000016","Lacteos","2026-06-17","Lala",76.10,439
"Yogurt Fresa v2","7500000000017","Lacteos","2028-03-15","Alpura",37.21,382
"Yogurt Vainilla v2","7500000000018","Lacteos","2026-04-08","Nestlé",24.14,402
"Queso Manchego v2","7500000000019","Lacteos","2027-03-07","Sello Rojo",66.49,436
"Queso Oaxaca v2","7500000000020","Lacteos","2028-04-03","Centrolac",66.14,401
"Queso Cottage v2","7500000000021","Lacteos","2025-03-02","Lala",42.39,209
"Mantequilla v2","7500000000022","Lacteos","2028-12-05","Alpura",35.51,177
"Crema Acida v2","7500000000023","Lacteos","2028-03-28","Nestlé",25.62,180
"Jocoque v2","7500000000024","Lacteos","2027-12-09","Sello Rojo",46.27,379
"Leche Entera v3","7500000000025","Lacteos","2026-08-25","Centrolac",26.64,390
"Leche Descremada v3","7500000000026","Lacteos","2025-05-03","Lala",64.36,404
