"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Leche Entera","9900000000001","Lacteos","2026-06-15","Lala",18.50,100
"Producto Sin Fecha","9900000000002","General","fecha-invalida","Marca",10.00,50
"Producto Sin Nombre","","Lacteos","2026-03-01","Alpura",15.00,30
"","9900000000004","Bebidas","2026-08-20","Coca-Cola",18.00,200
solo,tres,campos
"Precio No Numerico","9900000000006","Granos","2026-01-10","La Merced",no_es_precio,40
"Precio Negativo","9900000000007","Granos","2026-01-10","La Merced",-5.00,40
"Precio Cero","9900000000008","Granos","2026-01-10","La Merced",0.00,40
"Stock Negativo","9900000000009","Verduras","2026-04-01","Local",12.00,-10
"Stock No Entero","9900000000010","Verduras","2026-04-01","Local",12.00,diez
"Cafe Molido","9900000000011","Bebidas","2027-01-01","Nescafe",45.00,200
campo1,campo2,campo3,campo4,campo5,campo6,campo7,campo8
"Mes Invalido","9900000000013","Higiene","2026-13-01","Dove",14.00,80
"Dia Invalido","9900000000014","Higiene","2026-06-32","Dove",14.00,80
"Barcode Duplicado","9900000000001","Lacteos","2026-07-01","Lala",20.00,50
"Arroz Blanco","9900000000016","Granos","2027-06-01","La Merced",22.00,300
"Barcode Duplicado 2","9900000000011","Bebidas","2027-02-01","Nescafe",48.00,150
"Fecha Formato Corto","9900000000018","Frutas","26-06-15","Del Monte",15.00,90
"Fecha Solo Anno","9900000000019","Frutas","2026","Del Monte",15.00,90
"Yogurt Natural","9900000000020","Lacteos","2026-05-10","Alpura",15.00,60

"Sin Categoria","9900000000022","","2026-09-01","Marca",10.00,50
"Sin Marca","9900000000023","Limpieza","2026-09-01","",10.00,50
"Agua Mineral","9900000000024","Bebidas","2028-12-31","Bonafont",8.50,500
